id,title,text,website,link,timestamp
122, OpenAI rolls out ChatGPT memory to select users,OpenAI has begun rolling out memory capabilities to a select number of ChatGPT users this week. Memory will allow the conversational agent to recall details from previous chats in order to provide more personalised and contextually relevant responses.,artificialintelligence-news.com,https://cur.at/tP6wxGi?m=web,1727025153.409081
123,10 Best AI Art Generators (February 2024),"At the heart of these generators is a complex process where the AI analyzes the text, understanding context, objects, attributes, and emotions conveyed.",unite.ai,https://cur.at/ohM7egV?m=web,1727025160.163418
124,Taylor Swift isn't the only victim of AI porn. Can the spread of deepfake nudes be stopped?,"Late last month, a series of AI-generated, sexually explicit images of pop superstar Taylor Swift circulated across the social media, drawing outrage from her fans and renewing calls for a crackdown on so-called deepfakes.",yahoo.com,https://cur.at/izghWAq?m=web,1727025160.163418
125,Meta says you better disclose your AI fakes or it might just pull them," / The company is going to start watermarking AI photos across Instagram, Threads. and Facebook. And it’s going to punish people who upload realistic AI videos without disclosing it.",theverge.com,https://cur.at/FOp1rhS?m=web,1727025160.163418
126,How VCs can assess and attract winners in a landscape that’s now crowded with AI startups,"'There are only so many people who are really well-respected in the industry, and everybody does their research'",techcrunch.com,https://cur.at/3SHVPwN?m=web,1727025160.163418
127,AI Companies Lose $190 Billion After Dismal Financial Reports,"Following disappointing quarterly earnings results by Microsoft and Google owner Alphabet, Reuters reports that AI-related companies lost a whopping $190 billion in stock market value.",futurism.com,https://cur.at/2GD4auV?m=web,1727025166.864815
128,Google Publish Lumiere: A Breakthrough in AI Video Generation,"Google has recently introduced Lumiere, a state-of-the-art artificial intelligence (AI) model, signaling a significant technological leap in AI-generated videos.",medium.com,https://cur.at/ouo6Uvf?m=web,1727025166.864815
129,"Generative A.I.’s Biggest Impact Will Be in Banking and Tech, Report Says","For some companies, the new technology is an opportunity to enhance productivity and profit. Will their workers benefit as well?",nytimes.com,https://cur.at/TotvC4B?m=web,1727025166.864815
130,"Germany, France and Poland announce the ‘Weimar triangle’ for AI",Three leading member states have formed a political alliance to push for better coordination between national plans and investment in artificial intelligence with EU policies relating to the sector.,sciencebusiness.net,https://cur.at/2NCXniH?m=web,1727025166.864815
131,Mark Zuckerberg’s new goal is creating AGI,"Fueling the generative AI craze is a belief that the tech industry is on a path to achieving superhuman, god-like intelligence.",theverge.com,https://cur.at/7j7ifL?m=web,1727025173.462239
